start,end,line,unformatted,token
6.223,6.423,-1,いつでもiloveyou.君にtakekissme.,い
6.223,6.423,0,いつでもあいらぶゆー.きみにていくきすみー.,い
6.423,6.59,-1,いつでもiloveyou.君にtakekissme.,つ
6.423,6.59,0,いつでもあいらぶゆー.きみにていくきすみー.,つ
6.59,6.824,-1,いつでもiloveyou.君にtakekissme.,で
6.59,6.824,0,いつでもあいらぶゆー.きみにていくきすみー.,で
6.824,7.024,-1,いつでもiloveyou.君にtakekissme.,も
6.824,7.024,0,いつでもあいらぶゆー.きみにていくきすみー.,も
7.024,7.224,-1,いつでもiloveyou.君にtakekissme.,i
7.024,7.224,0,いつでもあいらぶゆー.きみにていくきすみー.,あ
7.224,7.391,-1,いつでもiloveyou.君にtakekissme.,i
7.224,7.391,0,いつでもあいらぶゆー.きみにていくきすみー.,い
7.391,7.524,-1,いつでもiloveyou.君にtakekissme.,love
7.391,7.524,0,いつでもあいらぶゆー.きみにていくきすみー.,らぶ
7.524,7.825,-1,いつでもiloveyou.君にtakekissme.,you.
7.524,7.825,0,いつでもあいらぶゆー.きみにていくきすみー.,ゆー.
7.825,8.025,-1,いつでもiloveyou.君にtakekissme.,君
7.825,8.025,0,いつでもあいらぶゆー.きみにていくきすみー.,き
8.025,8.225,-1,いつでもiloveyou.君にtakekissme.,君
8.025,8.225,0,いつでもあいらぶゆー.きみにていくきすみー.,み
8.225,8.425,-1,いつでもiloveyou.君にtakekissme.,に
8.225,8.425,0,いつでもあいらぶゆー.きみにていくきすみー.,に
8.425,8.625,-1,いつでもiloveyou.君にtakekissme.,ta
8.425,8.625,0,いつでもあいらぶゆー.きみにていくきすみー.,てい
8.625,8.826,-1,いつでもiloveyou.君にtakekissme.,ke
8.625,8.826,0,いつでもあいらぶゆー.きみにていくきすみー.,く
8.826,9.026,-1,いつでもiloveyou.君にtakekissme.,ki
8.826,9.026,0,いつでもあいらぶゆー.きみにていくきすみー.,き
9.026,9.126,-1,いつでもiloveyou.君にtakekissme.,ss
9.026,9.126,0,いつでもあいらぶゆー.きみにていくきすみー.,す
9.126,9.426,-1,いつでもiloveyou.君にtakekissme.,me.
9.126,9.426,0,いつでもあいらぶゆー.きみにていくきすみー.,みー.
9.426,9.626,0,わすれられないからぼくのだいじなめもりー,わ
9.426,9.626,-1,忘れられないから僕の大事なメモリー,れ
9.626,9.827,0,わすれられないからぼくのだいじなめもりー,す
9.626,9.827,-1,忘れられないから僕の大事なメモリー,れ
9.827,10.027,0,わすれられないからぼくのだいじなめもりー,れ
9.827,10.027,-1,忘れられないから僕の大事なメモリー,れ
10.027,10.194,0,わすれられないからぼくのだいじなめもりー,ら
10.027,10.194,-1,忘れられないから僕の大事なメモリー,ら
10.194,10.394,0,わすれられないからぼくのだいじなめもりー,れ
10.194,10.394,-1,忘れられないから僕の大事なメモリー,れ
10.394,10.627,0,わすれられないからぼくのだいじなめもりー,ない
10.394,10.627,-1,忘れられないから僕の大事なメモリー,ない
10.627,10.728,0,わすれられないからぼくのだいじなめもりー,か
10.627,10.728,-1,忘れられないから僕の大事なメモリー,か
10.728,11.028,0,わすれられないからぼくのだいじなめもりー,ら
10.728,11.028,-1,忘れられないから僕の大事なメモリー,ら
11.028,11.228,0,わすれられないからぼくのだいじなめもりー,ぼ
11.028,11.228,-1,忘れられないから僕の大事なメモリー,僕
11.228,11.428,0,わすれられないからぼくのだいじなめもりー,く
11.228,11.428,-1,忘れられないから僕の大事なメモリー,僕
11.428,11.628,0,わすれられないからぼくのだいじなめもりー,の
11.428,11.628,-1,忘れられないから僕の大事なメモリー,の
11.628,11.862,0,わすれられないからぼくのだいじなめもりー,だ
11.628,11.862,-1,忘れられないから僕の大事なメモリー,大
11.862,11.929,0,わすれられないからぼくのだいじなめもりー,い
11.862,11.929,-1,忘れられないから僕の大事なメモリー,大
11.929,12.029,0,わすれられないからぼくのだいじなめもりー,じ
11.929,12.029,-1,忘れられないから僕の大事なメモリー,事
12.029,12.229,0,わすれられないからぼくのだいじなめもりー,な
12.029,12.229,-1,忘れられないから僕の大事なメモリー,な
12.229,12.629,0,わすれられないからぼくのだいじなめもりー,め
12.229,12.629,-1,忘れられないから僕の大事なメモリー,メ
12.629,12.83,0,わすれられないからぼくのだいじなめもりー,も
12.629,12.83,-1,忘れられないから僕の大事なメモリー,モ
12.83,13.23,0,わすれられないからぼくのだいじなめもりー,りー
12.83,13.23,-1,忘れられないから僕の大事なメモリー,リー
13.23,13.464,0,どらやきはしゅしょくになれない,ど
13.23,13.464,-1,どら焼きは主食になれない,ど
13.464,13.63,0,どらやきはしゅしょくになれない,ら
13.464,13.63,-1,どら焼きは主食になれない,ら
13.63,13.831,0,どらやきはしゅしょくになれない,や
13.63,13.831,-1,どら焼きは主食になれない,焼
13.831,13.931,0,どらやきはしゅしょくになれない,き
13.831,13.931,-1,どら焼きは主食になれない,き
